seq.size() =   169
 32:  32  22  26
 33:  33   1  13
 34:  34  19  31
 35:  35  12  32
 36:  36   5   9
 37:  37   0  35
 38:  38  36  37
 39:  39  24  34
 40:  40  19  29
 41:  41   2  14
 42:  42  14  38
 43:  43  29  38
 44:  44  30  38
 45:  45   3  15
 46:  46   6  10
 47:  47  20  39
 48:  48   7  11
 49:  49  21  25
 50:  50   4   8
 51:  51  33  45
 52:  52  32  34
 53:  53  38  47
 54:  54  34  36
 55:  55  36  49
 56:  56  23  33
 57:  57  27  56
 58:  58   1  40
 59:  59   6  58
 60:  60  28  33
 61:  61  16  60
 62:  62  44  57
 63:  63  18  62
 64:  64  17  43
 65:  65  32  64
 66:  66  17  20
 67:  67   7  35
 68:  68   3  66
 69:  69  28  67
 70:  70  18  69
 71:  71   8  67
 72:  72  11  15
 73:  73  11  69
 74:  74  66  73
 75:  75  23  72
 76:  76  58  75
 77:  77  18  76
 78:  78  42  76
 79:  79  46  78
 80:  80  18  71
 81:  81  20  80
 82:  82  25  81
 83:  83   9  17
 84:  84  59  83
 85:  85  60  84
 86:  86   8  85
 87:  87   1  23
 88:  88  42  87
 89:  89  34  68
 90:  90  88  89
 91:  91  71  87
 92:  92  22  47
 93:  93  91  92
 94:  94  48  93
 95:  95  25  42
 96:  96  85  88
 97:  97  48  96
 98:  98   6  89
 99:  99  49  98
100: 100  32  81
101: 101  63  99
102: 102  11 101
103: 103  86 100
104: 104  34  95
105: 105  93  99
106: 106 103 105
107: 107  50 104
108: 108  28 107
109: 109  72 108
110: 110  56  98
111: 111  41 110
112: 112 104 111
113: 113  33  91
114: 114  34  83
115: 115 113 114
116: 116  35  92
117: 117  89 100
118: 118 116 117
119: 119  70 112
120: 120  54  97
121: 121  41 118
122: 122  65 121
123: 123  54 122
124: 124  74  59
125: 125  82  74
126: 126  65 125
127: 127  49 124  12
128: 128  49  51
129: 129  51  52
130: 130  41  82
131: 131  50  65
132: 132  45  63
133: 133  61  54
134: 134  41  61
135: 135  41  46
136: 136  57 135
137: 137  50  52
138: 138  46  53
139: 139 131 138
140: 140  86 136
141: 141  52 139
142: 142  79 102
143: 143  90 142
144: 144  55 102
145: 145  45 137
146: 146  53 137
147: 147 128 134
148: 148 128 146
149: 149  57 137
150: 150  48  57
151: 151 132 150
152: 152 109 147  31
153: 153  77 123
154: 154  48 109  19
155: 155  48 144
156: 156  55 151
157: 157 145 155  27
158: 158 123 151   2
159: 159 123 131  14
160: 160 139 144  23
161: 161 139 145
162: 162 130 145
163: 163  47 161
164: 164 143 163
165: 165 148 162  24
166: 166  47 148
167: 167  47 136
168: 168 120 136  22
169: 169 120 133  26
170: 170 131 133
171: 171 112 131
172: 172 146 170
173: 173 142 172
174: 174 141 142  18
175: 175 141 170
176: 176 129 170
177: 177 127 175   0
178: 178 129 132
179: 179 140 173   8
180: 180 153 176  11
181: 181 166 171   9
182: 182 115 158  17
183: 183 143 154   1
184: 184 112 167   5
185: 185 119 159
186: 186 152 164  13
187: 187 167 174  30
188: 188 156 166
189: 189 132 182  29
190: 190 184 185  28
191: 191 149 180   7
192: 192 140 187   4
193: 193 176 190  16
194: 194 130 188  20
195: 195 106 193  15
196: 196 178 195   3
197: 197 126 193   6
198: 198  94 196  21
199: 199 156 197  10
200: 200 188 198  25
